"id","order","title","qualifications","designation","classification","individualWinners","teamName","eventId","divisionId","qualifications.0"
188911,132,"Excellence Award (VIQRC)","[]",,,"[]","16008A",51958,1,
188912,135,"Teamwork Champion Award (VIQRC)","[]",,,"[]","16008A",51958,1,
188912,135,"Teamwork Champion Award (VIQRC)","[]",,,"[]","28111U",51958,1,
188913,140,"Design Award (VIQRC)","[]",,,"[]","28111U",51958,1,
188914,141,"Robot Skills Champion (VIQRC)","[]",,,"[]","16008A",51958,1,
188915,144,"Judges Award (VIQRC)","[]",,,"[]","996X",51958,1,
188644,132,"Excellence Award (VIQRC)","[]",,,"[]","28777K",52160,1,
188645,135,"Teamwork Champion Award (VIQRC)","[]",,,"[]","28111N",52160,1,
188645,135,"Teamwork Champion Award (VIQRC)","[]",,,"[]","906B",52160,1,
188646,140,"Design Award (VIQRC)","[]",,,"[]","80088W",52160,1,
188647,141,"Robot Skills Champion (VIQRC)","[]",,,"[]","61688A",52160,1,
188648,144,"Judges Award (VIQRC)","[]",,,"[]","22423C",52160,1,
187872,132,"Excellence Award (VIQRC)",,,,"[]","83300A",52043,,"World Championship"
187873,135,"Teamwork Champion Award (VIQRC)","[]",,,"[]","5510B",52043,,
187873,135,"Teamwork Champion Award (VIQRC)","[]",,,"[]","5510A",52043,,
187874,136,"Teamwork 2nd Place  Award (VIQRC)","[]",,,"[]","72333G",52043,,
187874,136,"Teamwork 2nd Place  Award (VIQRC)","[]",,,"[]","95111B",52043,,
187875,137,"Teamwork 3rd Place Award (VIQRC)","[]",,,"[]","71888E",52043,,
187875,137,"Teamwork 3rd Place Award (VIQRC)","[]",,,"[]","83300A",52043,,
187876,140,"Design Award (VIQRC)","[]",,,"[]","27093A",52043,,
187877,144,"Judges Award (VIQRC)","[]",,,"[]","5510B",52043,,
187878,145,"Innovate Award (VIQRC)","[]",,,"[]","71888A",52043,,
187879,146,"Think Award (VIQRC)","[]",,,"[]","88299A",52043,,
187880,147,"Amaze Award (VIQRC)","[]",,,"[]","72333V",52043,,
187881,148,"Build Award (VIQRC)","[]",,,"[]","50596B",52043,,
187882,149,"Create Award (VIQRC)","[]",,,"[]","60068B",52043,,
187884,152,"Inspire Award (VIQRC)","[]",,,"[]","27093B",52043,,
210642,141,"Robot Skills Champion (VIQRC)","[]",,,"[]","96666A",52043,,
210643,142,"Robot Skills 2nd Place (VIQRC)","[]",,,"[]","95111C",52043,,
210644,143,"Robot Skills 3rd Place (VIQRC)","[]",,,"[]","5510B",52043,,
187885,132,"Excellence Award (VIQRC)","[]",,,"[]","27115A",52044,1,
187886,135,"Teamwork Champion Award (VIQRC)","[]",,,"[]","10458X",52044,1,
187886,135,"Teamwork Champion Award (VIQRC)","[]",,,"[]","96688A",52044,1,
187887,136,"Teamwork 2nd Place  Award (VIQRC)","[]",,,"[]","27115B",52044,1,
187887,136,"Teamwork 2nd Place  Award (VIQRC)","[]",,,"[]","11619A",52044,1,
187888,137,"Teamwork 3rd Place Award (VIQRC)","[]",,,"[]","15159A",52044,1,
187888,137,"Teamwork 3rd Place Award (VIQRC)","[]",,,"[]","82177A",52044,1,
187889,140,"Design Award (VIQRC)","[]",,,"[]","88613E",52044,1,
187890,141,"Robot Skills Champion (VIQRC)","[]",,,"[]","96688A",52044,1,
187891,142,"Robot Skills 2nd Place (VIQRC)","[]",,,"[]","27115B",52044,1,
187892,143,"Robot Skills 3rd Place (VIQRC)","[]",,,"[]","27112A",52044,1,
187893,144,"Judges Award (VIQRC)","[]",,,"[]","13090E",52044,1,
