"eventId","id","name","order"
51958,1,"Division 1",1
52160,1,"Division 1",1
52043,1,"IQ EA",1
52043,2,"IQ EB",2
52043,100,"Finals",100
52044,1,"Division 1",1
52212,1,"Division 1",1
52235,1,"Division 1",1
52048,1,"Division 1",1
52049,1,"Division 1",1
52231,1,"Division 1",1
52232,1,"Division 1",1
52266,1,"Default Division",1
52267,1,"Default Division",1
53118,1,"Default",1
53119,1,"Division 1",1
53123,1,"Division 1",1
53126,1,"Default",1
53663,1,"Default",1
53643,1,"Default",1
53644,1,"Default",1
53645,1,"Default",1
53646,1,"Default",1
53448,1,"Default Division",1
53449,1,"Default Division",1
53642,1,"Default",1
53647,1,"Division 1",1
53648,1,"Division 1",1
53373,1,"Division 1",1
53374,1,"Division 1",1
53279,1,"Division 1",1
53445,1,"Default",1
53446,1,"Default",1
53919,1,"Division 1",1
53669,1,"Division 1",1
53601,1,"Division 1",1
53602,1,"Division 1",1
53544,1,"Division 1",1
53544,2,"Division 2",2
53544,100,"Final",100
53546,1,"Division 1",1
54226,1,"Division 1",1
54348,1,"Division 1",1
54199,1,"Division 1",1
54200,1,"Division 1",1
54491,1,"Default",1
54492,1,"Default",1
54490,1,"Default",1
54623,1,"Science",1
54623,2,"Technology",2
54623,3,"Engineering",3
54623,4,"Math",4
54623,5,"Arts",5
54623,100,"F",100
54624,1,"Division 1",1
54343,1,"Division 1",1
54344,1,"Division 1",1
53451,1,"Default",1
54816,1,"Default",1
55093,1,"Default",1
55094,1,"Default",1
55018,1,"Division 1",1
54821,1,"Division 1",1
54824,1,"Division 1",1
54916,1,"EQA",1
54916,2,"EQB",2
54916,100,"F",100
54916,101,"F",101
54917,1,"MA",1
54917,2,"MB",2
54917,100,"F",100
55089,1,"Division 1",1
55010,1,"Division 1",1
55014,1,"Division 1",1
51532,1,"Division 1",1
51749,1,"Division 1",1
51749,2,"Division 2",2
51749,100,"Final",100
55225,1,"Division 1",1
55227,1,"Division 1",1
53596,1,"Division 1",1
55145,1,"Division 1",1
55291,1,"Division 1",1
55271,1,"Division 1",1
55271,2,"Division 2",2
55271,100,"FINAL",100
55271,101,"FINAL",101
55271,102,"final",102
55292,1,"Division 1",1
55538,1,"Default",1
55381,1,"Default",1
