"id","sku","name","start","end","season.id","season.name","season.code","program.id","program.name","program.code","location.venue","location.address_1","location.address_2","location.city","location.region","location.postcode","location.country","location.coordinates.lat","location.coordinates.lon","level","ongoing","awards_finalized"
51958,"RE-VIQRC-23-1958","2023-2024 VEX Robotics Asia Open (GUANGDONG) VIQRC(MS ONLY)","2023-07-17T00:00:00-04:00","2023-07-18T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","Huamei International School","23 Huamei Road, Tianhe District",,"Guangzhou","Guangdong","510000","China",23.19963,113.38613,"Other",false,true
52160,"RE-VIQRC-23-2160","2023-2024 VEX Robotics Asia Open (GUANGDONG) VIQRC(ES ONLY)","2023-07-17T00:00:00-04:00","2023-07-18T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","Guangzhou Huamei English Experimental School","No.23, Huamei Road, Longdong, Tianhe District",,"Guangzhou","Guangdong","510000","China",23.19963,113.38613,"Other",false,true
52043,"RE-VIQRC-23-2043","North China VEX Championship -VIQRC Elementary School","2023-07-28T00:00:00-04:00","2023-07-30T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","北京市延庆区世园公园，国际馆B馆","北京市延庆区220省道西侧",,"Beijing","Beijing","","China",40.517869,115.913302,"Regional",false,true
52044,"RE-VIQRC-23-2044","North China VEX Championship - VIQRC Middle School","2023-07-28T00:00:00-04:00","2023-07-31T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","北京市延庆区世园公园，国际馆B馆","北京市延庆区s220省道西",,"Beijing","Beijing","","China",40.38371,115.90204,"Other",false,true
52212,"RE-VIQRC-23-2212","2023年VEX机器人湾区交流活动-VIQRC ES","2023-08-04T00:00:00-04:00","2023-08-06T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","广东省广州市南沙区-香港科技大学（广州）","",,"Guangzhou","Guangdong","","China",23.12908,113.26436,"Other",false,true
52235,"RE-VIQRC-23-2235","2023年VEX机器人湾区交流活动-VIQRC MS","2023-08-04T00:00:00-04:00","2023-09-06T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","广东省广州市南沙区-香港科技大学（广州）","广东省广州市南沙区环市大道南2号",,"Guangzhou","Guangdong","","China",22.74841,113.59404,"Other",false,true
52048,"RE-VIQRC-23-2048","2023首届“中国蓝AI未来之星-博思杯”  VEX机器人挑战赛全国邀请赛-VIQRC小学组","2023-08-10T00:00:00-04:00","2023-08-13T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","杭州萧山天明国际产业园","浙江省杭州市钱塘区鸿兴路358号2号楼4层",,"Hangzhou","Zhejiang","","China",30.2206,120.32956,"Other",false,true
52049,"RE-VIQRC-23-2049","2023首届“中国蓝AI未来之星-博思杯” VEX 机器人挑战赛全国邀请赛-VIQRC初中组","2023-08-10T00:00:00-04:00","2023-08-13T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","杭州萧山天明国际产业园","浙江省杭州市钱塘区鸿兴路358号2号楼4层",,"Hangzhou","Zhejiang","","China",30.2206,120.32956,"Other",false,true
52231,"RE-VIQRC-23-2231","2023-2024 VEX Robotics Asia Open Northwest China VIQRC_ES","2023-08-24T00:00:00-04:00","2023-08-26T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","Xianyang City","No. 114, Road 5, Weicheng District",,"Xianyang","Shaanxi","710000","China",34.306549,108.908625,"Other",false,true
52232,"RE-VIQRC-23-2232","2023-2024 VEX Robotics Asia Open Northwest China VIQRC_MS","2023-08-24T00:00:00-04:00","2023-08-26T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","Qinhan Middle School Gymnasium","No. 114, Road 5, Weicheng District",,"Xianyang","Shaanxi","710000","China",34.306549,108.908625,"Other",false,true
