"id","type","division","rank","score","attempts","eventId","teamName","seasonId"
36959356,"driver",,1,80,3,51958,"16008A",180
36959357,"programming",,1,72,3,51958,"16008A",180
36959358,"driver",,2,74,2,51958,"18186A",180
36959359,"programming",,2,64,2,51958,"18186A",180
36959360,"driver",,3,77,3,51958,"66888A",180
36959361,"programming",,3,34,3,51958,"66888A",180
36959362,"driver",,4,78,2,51958,"3322D",180
36959363,"programming",,4,29,3,51958,"3322D",180
36959364,"driver",,5,86,2,51958,"28111U",180
36959365,"programming",,5,20,1,51958,"28111U",180
36959366,"driver",,6,77,3,51958,"3322A",180
36959367,"programming",,6,20,1,51958,"3322A",180
36959368,"driver",,7,75,3,51958,"61688B",180
36959369,"programming",,7,0,0,51958,"61688B",180
36959370,"driver",,8,55,3,51958,"22423A",180
36959371,"programming",,8,19,1,51958,"22423A",180
36959372,"driver",,9,72,2,51958,"32680A",180
36959373,"programming",,9,0,0,51958,"32680A",180
36959374,"driver",,10,60,3,51958,"50009E",180
36959375,"programming",,10,11,2,51958,"50009E",180
36959376,"driver",,11,45,3,51958,"66888B",180
36959377,"programming",,11,15,1,51958,"66888B",180
36959378,"driver",,12,43,2,51958,"3322F",180
36959379,"programming",,12,15,2,51958,"3322F",180
36959314,"driver",,1,57,2,52160,"61688A",180
36959315,"programming",,1,57,3,52160,"61688A",180
36959316,"driver",,2,73,3,52160,"80088W",180
36959317,"programming",,2,41,3,52160,"80088W",180
36959318,"driver",,3,72,2,52160,"80088T",180
36959319,"programming",,3,37,3,52160,"80088T",180
36959320,"driver",,4,72,3,52160,"71030H",180
36959321,"programming",,4,27,3,52160,"71030H",180
36959322,"driver",,5,74,3,52160,"71030F",180
36959323,"programming",,5,24,3,52160,"71030F",180
36959324,"driver",,6,83,2,52160,"28777K",180
36959325,"programming",,6,0,0,52160,"28777K",180
36959326,"driver",,7,79,2,52160,"28111Z",180
36959327,"programming",,7,0,0,52160,"28111Z",180
36959328,"driver",,8,77,3,52160,"906A",180
36959329,"programming",,8,1,2,52160,"906A",180
36959330,"driver",,9,76,1,52160,"22423C",180
36959331,"programming",,9,0,0,52160,"22423C",180
36959332,"driver",,10,38,3,52160,"17527C",180
36959333,"programming",,10,37,2,52160,"17527C",180
36959334,"driver",,11,75,2,52160,"3322G",180
36959335,"programming",,11,0,0,52160,"3322G",180
36959336,"driver",,12,73,2,52160,"32680C",180
36959337,"programming",,12,0,0,52160,"32680C",180
36959338,"driver",,13,72,1,52160,"3322B",180
36959339,"programming",,13,0,1,52160,"3322B",180
36959340,"driver",,14,70,3,52160,"906G",180
36959341,"programming",,14,0,1,52160,"906G",180
36959342,"driver",,15,67,2,52160,"61688H",180
36959343,"programming",,15,0,0,52160,"61688H",180
