"eventId","id","number","team_name","robot_name","organization","location.venue","location.address_1","location.address_2","location.city","location.region","location.postcode","location.country","location.coordinates.lat","location.coordinates.lon","registered","program.id","program.name","program.code","grade"
"51958",152215,"906Y","广州市第十六中实验学校","广州市第十六中实验学校","",,"",,"Guangzhou","Guangdong","510620","China",23.1,113.3,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",155035,"996X","比隆小镇X队","","Bltown robot",,"",,"Guangzhou","Guangdong","510000","China",23.1,113.3,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",89477,"3322A","H.S.T","","DaDa LeLe Robot Center",,"",,"Shenzhen","Guangdong","518000","China",22.6,114.1,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",89480,"3322D","DADALELE10D","","DaDa LeLe Robot Center",,"",,"Shenzhen","Guangdong","518000","China",22.6,114.1,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",149431,"3322F","DADALELE06","","DaDa LeLe Robot Center",,"",,"Shenzhen","Guangdong","518000","China",22.6,114.1,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",103679,"16008A","TY-A","","Guangzhou Tieyi Middle School",,"",,"Guangzhou","Guangdong","nil","China",23.1,113.5,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",117425,"18186A","QZ-A",,"Guangzhou No.7 Middle School",,"",,"Guangzhou","Guangdong","510000","China",23.1,113.3,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",140406,"22423A","奥比必胜队",,"奥比编程考级竞赛中心",,"",,"Foshan","Guangdong","528000","China",22.9,113.2,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",155082,"22423B","奥比突破队",,"奥比编程考级竞赛中心",,"",,"Foshan","Guangdong","528000","China",22.9,113.2,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",151221,"28111U","KL-KnightWW","Knight","Kids Life Children's Programming & Robot Club",,"",,"Guangzhou","Guangdong","510280","China",23.1,113.3,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",153600,"32680A","BD-A-GZ-GD-China","BD-A","广州编达机器人编程竞赛中心",,"",,"Guangzhou","Guangdong","510000","China",23.1,113.4,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",122572,"50009E","LW-E","","Guangzhou No.7 Middle School",,"",,"Guangzhou","Guangdong","510000","China",23.1,113.2,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",155099,"61688B","突突站队","","广州教教者",,"",,"Guangzhou","Guangdong","510000","China",23.1,113.3,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",135004,"66888A","佛山石门实验学校","弘毅机器人","佛山市南海区石门实验学校",,"",,"Foshan","Guangdong","528200","China",23.1,113.1,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",155103,"66888B","佛山市南海区石门实验学校","弘毅机器人","佛山市南海区石门实验学校",,"",,"Foshan","Guangdong","528200","China",23.1,113.1,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",155110,"66888C","佛山市南海区石门实验学校","弘毅机器人","佛山市南海区石门实验学校",,"",,"Foshan","Guangdong","528200","China",23.1,113.1,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"51958",153634,"82916A","蛟龙出海","","蜘蛛侠实验室",,"",,"Shenzhen","Guangdong","518000","China",22.5,114.1,true,41,"VEX IQ Robotics Competition","VIQRC","Middle School"
"52160",108818,"906A","HIC robots","广州海客机器人","HIC robot",,"",,"Guangzhou","Guangdong","nil","China",23.1,113.3,true,41,"VEX IQ Robotics Competition","VIQRC","Elementary School"
"52160",109004,"906B","海客智能机器人竞赛中心","Rising Star","HIC robot",,"",,"Guangzhou","Guangdong","nil","China",23.1,113.3,true,41,"VEX IQ Robotics Competition","VIQRC","Elementary School"
"52160",113217,"906C","HIC robot","广州海客机器人","HIC robot",,"",,"Guangzhou","Guangdong","nil","China",23.1,113.3,true,41,"VEX IQ Robotics Competition","VIQRC","Elementary School"
"52160",154842,"906G","HIC robots","海客机器人","",,"",,"Guangzhou","Guangdong","510620","China",23.1,113.3,true,41,"VEX IQ Robotics Competition","VIQRC","Elementary School"
"52160",154843,"906K","HIC robots","海客机器人","",,"",,"Guangzhou","Guangdong","510620","China",23.1,113.3,true,41,"VEX IQ Robotics Competition","VIQRC","Elementary School"
"52160",129081,"996A","比隆小镇A队","","Bltown robot",,"",,"Guangzhou","Guangdong","510000","China",23.1,113.3,true,41,"VEX IQ Robotics Competition","VIQRC","Elementary School"
"52160",129740,"996C","比隆小镇C队","","Bltown robot",,"",,"Guangzhou","Guangdong","510000","China",23.1,113.3,true,41,"VEX IQ Robotics Competition","VIQRC","Elementary School"
