"eventId","id","name","order"
51626,1,"Division 1",1
52029,1,"Division 1",1
52736,1,"Division 1",1
52167,1,"Default",1
52454,1,"Division 1",1
53133,1,"Division 1",1
53149,1,"Division 1",1
52573,1,"Division 1",1
53084,1,"Division 1",1
52178,1,"Default Division",1
51953,1,"Division 1",1
52996,1,"Default",1
52829,1,"Division 1",1
52830,1,"Division 1",1
53248,1,"Default Division",1
53105,1,"Default",1
53777,1,"Default",1
52608,1,"Division 1",1
51845,1,"Division 1",1
52027,1,"Default",1
52470,1,"Division 1",1
52764,1,"Division 1",1
52999,1,"Division 1",1
52506,1,"Division 1",1
52622,1,"Division 1",1
51973,1,"Division 1",1
52362,1,"Default",1
52594,1,"Division 1",1
52840,1,"Division 1",1
51589,1,"Division 1",1
52004,1,"Default Division",1
52630,1,"Default Division",1
52737,1,"Division 1",1
52827,1,"Division 1",1
52828,1,"Division 1",1
52835,1,"Division 1",1
52927,1,"Default",1
52930,1,"Division 1",1
53062,1,"Division 1",1
53331,1,"Division 1",1
52773,1,"Division 1",1
52156,1,"Division 1",1
52285,1,"Division 1",1
53849,1,"Default",1
52113,1,"Division 1",1
52376,1,"Division 1",1
52757,1,"Division 1",1
52610,1,"Division 1",1
52802,1,"Division 1",1
52595,1,"Division 1",1
54277,1,"Division 1",1
51946,1,"Division 1",1
52092,1,"Division 1",1
52158,1,"Division 1",1
52477,1,"Default",1
52490,1,"Division 1",1
52513,1,"Division 1",1
52582,1,"Division 1",1
52618,1,"Division 1",1
52740,1,"Division 1",1
52760,1,"Division 1",1
52814,1,"Division 1",1
52998,1,"Division 1",1
53110,1,"Cougar Division",1
53206,1,"Division 1",1
53320,1,"Division 1",1
53336,1,"Division 1",1
53560,1,"Division 1",1
53635,1,"Division 1",1
53254,1,"Division 1",1
53850,1,"Division 1",1
52512,1,"Division 1",1
54049,1,"Division 1",1
54084,1,"Division 1",1
52614,1,"Division 1",1
54128,1,"Default",1
51957,1,"Division 1",1
52617,1,"Division 1",1
52833,1,"Division 1",1
51833,1,"Division 1",1
51868,1,"Division 1",1
52084,1,"Division 1",1
52085,1,"Division 1",1
52310,1,"Division 1",1
52313,1,"Default",1
52403,1,"Division 1",1
52472,1,"Division 1",1
52667,1,"Division 1",1
52669,1,"Division 1",1
52694,1,"Division 1",1
52797,1,"Division 1",1
52800,1,"Division 1",1
52834,1,"Division 1",1
52936,1,"Division 1",1
52939,1,"Default",1
53151,1,"Division 1",1
53166,1,"Division 1",1
53327,1,"Division 1",1
53357,1,"Default",1
53392,1,"Default",1
53435,1,"Division 1",1
53557,1,"Division 1",1
53869,1,"HCS",1
53932,1,"Division 1",1
53937,1,"Division 1",1
54876,1,"Division 1",1
52973,1,"Division 1",1
53584,1,"Division 1",1
52619,1,"Division 1",1
53096,1,"Division 1",1
54304,1,"Division 1",1
53406,1,"Division 324",1
51706,1,"Default",1
51708,1,"Division 1",1
51769,1,"Division 1",1
51804,1,"Division 1",1
51922,1,"Division 1",1
51930,1,"Division 1",1
52081,1,"Division 1",1
52301,1,"Default",1
52409,1,"Division 1",1
52476,1,"Division 1",1
52505,1,"Division 1",1
52542,1,"Default Division",1
52634,1,"November Qualifier",1
52722,1,"Division 1",1
52763,1,"Division 1",1
52816,1,"Division 1",1
52846,1,"Division 1",1
52875,1,"Division 1",1
52940,1,"Division 1",1
53003,1,"Division 1",1
53007,1,"Division 1",1
53025,1,"Division 1",1
53036,1,"Division 1",1
53131,1,"Division 1",1
53226,1,"Division 1",1
53310,1,"Division 1",1
53312,1,"Division 1",1
53396,1,"Division 1",1
53431,1,"Division 1",1
53618,1,"Division 1",1
53625,1,"Division 1",1
53917,1,"Division 1",1
54002,1,"Division 1",1
54042,1,"Division 1",1
54043,1,"Division 1",1
54094,1,"Default Division",1
54119,1,"Division 1",1
52153,1,"Division 1",1
52568,1,"Default",1
53556,1,"Division 1",1
52821,1,"Division 1",1
53225,1,"Division 1",1
54051,1,"Division 1",1
54635,1,"Default",1
52748,1,"Division 1",1
54122,1,"Division 1",1
51504,1,"Division 1",1
51974,1,"Default",1
52363,1,"Division 1",1
52404,1,"Default",1
52525,1,"Division 1",1
52597,1,"Division 1",1
52625,1,"Division 1",1
52626,1,"Division 1",1
52648,1,"Division 1",1
52698,1,"Division 1",1
52756,1,"Division 1",1
52953,1,"VEX IQRC",1
53020,1,"Default Division",1
53211,1,"Default",1
53260,1,"Division 1",1
53548,1,"Division 1",1
53572,1,"Division 1",1
53593,1,"Division 1",1
53649,1,"Division 1",1
53657,1,"Division 1",1
