"id","sku","name","start","end","season.id","season.name","season.code","program.id","program.name","program.code","location.venue","location.address_1","location.address_2","location.city","location.region","location.postcode","location.country","location.coordinates.lat","location.coordinates.lon","level","ongoing","awards_finalized"
51626,"RE-VIQRC-23-1626","Monroe County Fair VIQRC Full Volume MI Kickoff","2023-08-05T00:00:00-04:00","2023-08-05T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","Monroe County Fair","3775 Custer Road",,"Monroe","Michigan","48161","United States",41.931225,-83.463605,"Other",false,true
52029,"RE-VIQRC-23-2029","Gulf Side Skirmish-IQ Blended","2023-09-02T00:00:00-04:00","2023-09-02T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","Ball High School","4115 Avenue O",,"Galveston","Texas","77550","United States",29.287337,-94.811632,"Other",false,true
52736,"RE-VIQRC-23-2736","Petal School District 2023 League- Elementary Teams","2023-09-05T00:00:00-04:00","2023-11-03T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","Petal Elementary School","1179 Mississippi 42",,"Petal","Mississippi","39465","United States",31.352117,-89.202426,"Other",false,true
52167,"RE-VIQRC-23-2167","The Panther Prowl- Swope Middle School Fall Tournament- CANCELLED","2023-09-16T00:00:00-04:00","2023-09-16T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","Swope Middle School","901 Keele Drive",,"Reno","Nevada","89509","United States",39.509682,-119.847076,"Other",false,false
52454,"RE-VIQRC-23-2454","AERO Season Kickoff VIQRC-Updated- Blended","2023-09-16T00:00:00-04:00","2023-09-16T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","Arab Junior High School","911 Old Cullman Road Southwest",,"Arab","Alabama","35016","United States",34.312685,-86.511374,"Other",false,true
53133,"RE-VIQRC-23-3133","Big Island VEX IQ League","2023-09-23T00:00:00-04:00","2024-01-20T00:00:00-05:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","SCRIMMAGE - Waiakea Intermediate School","200 West Puainako Street",,"Hilo","Hawaii","96720","United States",19.695106,-155.076449,"Other",false,true
53149,"RE-VIQRC-23-3149","Region 5 Early Season IQ Scrimmage","2023-09-23T00:00:00-04:00","2023-09-23T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","1509 Enterprise Blvd","1509 Enterprise Boulevard",,"Lake Charles","Louisiana","70601","United States",30.220139,-93.203154,"Other",false,false
52573,"RE-VIQRC-23-2573","Sumner County Fall VIQRC League (ES/MS)","2023-09-28T00:00:00-04:00","2023-11-30T00:00:00-05:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","Hendersonville High School","123 Cherokee Road",,"Hendersonville","Tennessee","37075","United States",36.303809,-86.605038,"Other",false,true
53084,"RE-VIQRC-23-3084","IQ After School: Full Volume #1","2023-09-28T00:00:00-04:00","2023-09-28T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","Jasper Junior High School","1501 Viking Drive",,"Jasper","Alabama","35501","United States",33.833613,-87.257946,"Other",false,true
52178,"RE-VIQRC-23-2178","WWR Oaks Mall VIQRC Blended Tournament (Judgement Free Zone)","2023-09-30T00:00:00-04:00","2023-09-30T00:00:00-04:00",180,"VIQRC 2023-2024: Full Volume",,41,"VEX IQ Robotics Competition","VIQRC","The Oaks Mall","6419 West Newberry Road",,"Gainesville","Florida","32605","United States",29.658018,-82.411237,"Other",false,true
