"id","order","title","qualifications","designation","classification","individualWinners","teamName","eventId","divisionId","qualifications.0"
188907,109,"Tournament Champions (VRC/VEXU/VAIRC)","[]",,,"[]","98060C",51961,1,
188907,109,"Tournament Champions (VRC/VEXU/VAIRC)","[]",,,"[]","98060D",51961,1,
188908,115,"Design Award (VRC/VEXU/VAIRC)","[]",,,"[]","27512A",51961,1,
188909,116,"Robot Skills Champion (VRC/VEXU/VAIRC)","[]",,,"[]","98060C",51961,1,
188910,119,"Judges Award (VRC/VEXU/VAIC/ADC/VAIRC)","[]",,,"[]","19320X",51961,1,
192134,106,"Excellence Award (VRC/VEXU/VAIRC)","[]",,,"[]","98060A",51961,1,
187901,106,"Excellence Award (VRC/VEXU/VAIRC)","[]",,,"[]","13800C",52045,1,
187902,109,"Tournament Champions (VRC/VEXU/VAIRC)","[]",,,"[]","13800C",52045,1,
187902,109,"Tournament Champions (VRC/VEXU/VAIRC)","[]",,,"[]","18501A",52045,1,
187903,110,"Tournament Finalists (VRC/VEXU/VAIRC)","[]",,,"[]","7139C",52045,1,
187903,110,"Tournament Finalists (VRC/VEXU/VAIRC)","[]",,,"[]","13800K",52045,1,
187904,111,"Tournament Semifinalists (VRC/VEXU/VAIRC)","[]",,,"[]","18555B",52045,1,
187904,111,"Tournament Semifinalists (VRC/VEXU/VAIRC)","[]",,,"[]","18522Z",52045,1,
187905,115,"Design Award (VRC/VEXU/VAIRC)","[]",,,"[]","7756A",52045,1,
187906,116,"Robot Skills Champion (VRC/VEXU/VAIRC)","[]",,,"[]","18501A",52045,1,
187907,117,"Robot Skills 2nd Place (VRC/VEXU/VAIRC)","[]",,,"[]","18555B",52045,1,
187908,118,"Robot Skills 3rd Place (VRC/VEXU/VAIRC)","[]",,,"[]","11311X",52045,1,
187909,119,"Judges Award (VRC/VEXU/VAIC/ADC/VAIRC)","[]",,,"[]","18501A",52045,1,
187910,120,"Innovate Award (VRC/VEXU/VAIRC)","[]",,,"[]","8223C",52045,1,
187911,121,"Think Award (VRC/VEXU/VAIRC)","[]",,,"[]","57000X",52045,1,
187912,122,"Amaze Award (VRC/VEXU/VAIRC)","[]",,,"[]","761A",52045,1,
187913,123,"Build Award (VRC/VEXU/VAIRC)","[]",,,"[]","12466A",52045,1,
187914,124,"Create Award (VRC/VEXU/VAIRC)","[]",,,"[]","97758A",52045,1,
187916,127,"Inspire Award (VRC/VEXU/VAIRC)","[]",,,"[]","95619C",52045,1,
187917,106,"Excellence Award (VRC/VEXU/VAIRC)","[]",,,"[]","70700A",52046,1,
187918,109,"Tournament Champions (VRC/VEXU/VAIRC)","[]",,,"[]","7937B",52046,1,
187918,109,"Tournament Champions (VRC/VEXU/VAIRC)","[]",,,"[]","13800Y",52046,1,
187919,110,"Tournament Finalists (VRC/VEXU/VAIRC)","[]",,,"[]","70700A",52046,1,
187919,110,"Tournament Finalists (VRC/VEXU/VAIRC)","[]",,,"[]","84125A",52046,1,
187920,111,"Tournament Semifinalists (VRC/VEXU/VAIRC)","[]",,,"[]","57000Y",52046,1,
187920,111,"Tournament Semifinalists (VRC/VEXU/VAIRC)","[]",,,"[]","88X",52046,1,
187921,115,"Design Award (VRC/VEXU/VAIRC)","[]",,,"[]","8331B",52046,1,
187922,116,"Robot Skills Champion (VRC/VEXU/VAIRC)","[]",,,"[]","88X",52046,1,
187923,117,"Robot Skills 2nd Place (VRC/VEXU/VAIRC)","[]",,,"[]","8331A",52046,1,
