"eventId","id","name","order"
51961,1,"Division 1",1
52045,1,"Division 1",1
52046,1,"Division 1",1
52236,1,"Division 1",1
52238,1,"Division 1",1
52050,1,"Division 1",1
52051,1,"Division 1",1
52229,1,"Division 1",1
53120,1,"Default",1
53121,1,"Default",1
53129,1,"Division 1",1
53664,1,"Default",1
53665,1,"Default",1
53450,1,"Default Division",1
53667,1,"Default Division",1
53375,1,"Division 1",1
53376,1,"Division 1",1
53282,1,"Division 1",1
53447,1,"Default",1
53603,1,"Division 1",1
53604,1,"Division 1",1
53547,1,"Division 1",1
54349,1,"Division 1",1
54201,1,"Division 1",1
54202,1,"Division 1",1
54493,1,"Default",1
54494,1,"Default",1
54625,1,"Division 1",1
54345,1,"Division 1",1
54896,1,"Division 1",1
55247,1,"Division 1",1
55095,1,"Division 1",1
55019,1,"Division 1",1
54825,1,"Division 1",1
54918,1,"MA",1
54918,2,"MB",2
54919,1,"Division 1",1
55114,1,"Division 1",1
55012,1,"Innovation",1
55012,2,"Entrepreneurship",2
55012,100,"Final",100
55012,101,"Final",101
55013,1,"Innovation",1
55013,2,"Entrepreneurship",2
55013,100,"FINAL",100
51538,1,"Division 1",1
51750,1,"Division 1",1
55224,1,"Default",1
55226,1,"Division 1",1
55318,1,"Division 1",1
53399,1,"Division 1",1
55321,1,"Division 1",1
55273,1,"Division 1",1
55274,1,"Division 1",1
52772,1,"Division 1",1
55539,1,"Default",1
55382,1,"Default",1
55383,1,"Default",1
