"id","sku","name","start","end","season.id","season.name","season.code","program.id","program.name","program.code","location.venue","location.address_1","location.address_2","location.city","location.region","location.postcode","location.country","location.coordinates.lat","location.coordinates.lon","level","ongoing","awards_finalized"
51961,"RE-VRC-23-1961","2023-2024 VEX Robotics Asia Open (GUANGDONG) VRC","2023-07-17T00:00:00-04:00","2023-07-18T00:00:00-04:00",181,"VRC 2023-2024: Over Under",,1,"VEX Robotics Competition","VRC","Guangzhou Huamei English Experimental School","23 Huamei Road, Tianhe District, Guangzhou City, Guangdong Province, China",,"Guangzhou","Guangdong","510500","China",23.19963,113.38613,"Other",false,true
52045,"RE-VRC-23-2045","North China VEX Championship - VRC Middle School","2023-07-28T00:00:00-04:00","2023-07-30T00:00:00-04:00",181,"VRC 2023-2024: Over Under",,1,"VEX Robotics Competition","VRC","北京市延庆区世园公园，国际馆B馆","北京市延庆区s220省道西",,"Beijing","Beijing","","China",40.38371,115.90204,"Other",false,true
52046,"RE-VRC-23-2046","North China VEX Championship - VRC High School","2023-07-28T00:00:00-04:00","2023-07-30T00:00:00-04:00",181,"VRC 2023-2024: Over Under",,1,"VEX Robotics Competition","VRC","北京市延庆区世园公园，国际馆B馆","北京市延庆区s220省道西",,"Beijing","Beijing","","China",40.38371,115.90204,"Other",false,true
52236,"RE-VRC-23-2236","2023年VEX机器人湾区交流活动-VRC MS","2023-08-04T00:00:00-04:00","2023-08-06T00:00:00-04:00",181,"VRC 2023-2024: Over Under",,1,"VEX Robotics Competition","VRC","广东省广州市南沙区-香港科技大学（广州）","广东省广州市南沙区环市大道南2号",,"Guangzhou","Guangdong","","China",22.74841,113.59404,"Other",false,true
52238,"RE-VRC-23-2238","2023年VEX机器人湾区交流活动-VRC HS","2023-08-04T00:00:00-04:00","2023-08-06T00:00:00-04:00",181,"VRC 2023-2024: Over Under",,1,"VEX Robotics Competition","VRC","广东省广州市南沙区-香港科技大学（广州）","广东省广州市南沙区环市大道南2号",,"Guangzhou","Guangdong","","China",22.74841,113.59404,"Other",false,true
52050,"RE-VRC-23-2050","2023首届“中国蓝AI未来之星-博思杯”  VEX机器人挑战赛全国邀请赛-VRC初中组","2023-08-10T00:00:00-04:00","2023-08-13T00:00:00-04:00",181,"VRC 2023-2024: Over Under",,1,"VEX Robotics Competition","VRC","杭州萧山天明国际产业园","浙江省杭州市钱塘区鸿兴路358号2号楼4层",,"Hangzhou","Zhejiang","","China",30.2206,120.32956,"Other",false,true
52051,"RE-VRC-23-2051","2023首届“中国蓝AI未来之星-博思杯”  VEX机器人挑战赛全国邀请赛-VRC高中组","2023-08-10T00:00:00-04:00","2023-08-13T00:00:00-04:00",181,"VRC 2023-2024: Over Under",,1,"VEX Robotics Competition","VRC","杭州萧山天明国际产业园","浙江省杭州市钱塘区鸿兴路358号2号楼4层",,"Hangzhou","Zhejiang","","China",30.2206,120.32956,"Other",false,true
52229,"RE-VRC-23-2229","2023-2024 VEX Robotics Asia Open  Northwest China VRC","2023-08-24T00:00:00-04:00","2023-08-26T00:00:00-04:00",181,"VRC 2023-2024: Over Under",,1,"VEX Robotics Competition","VRC","Qinhan Middle School Gymnasium","No. 114, Road 5, Weicheng District",,"Xianyang","Shaanxi","710000","China",34.306549,108.908625,"Other",false,true
53120,"RE-VRC-23-3120","2023-2024 VEX Robotics City Elite(Shanghai)-VRC MS","2023-08-26T00:00:00-04:00","2023-08-27T00:00:00-04:00",181,"VRC 2023-2024: Over Under",,1,"VEX Robotics Competition","VRC","WisdomBay","158 Huqing Road, Baoshan District, Shanghai",,"Shanghai","Shanghai","","China",31.34267,121.43994,"Other",false,false
53121,"RE-VRC-23-3121","2023-2024 VEX Robotics City Elite(Shanghai)-VRC HS","2023-08-26T00:00:00-04:00","2023-08-27T00:00:00-04:00",181,"VRC 2023-2024: Over Under",,1,"VEX Robotics Competition","VRC","WisdomBay","158 Huqing Road, Baoshan District, Shanghai",,"Shanghai","Shanghai","","China",31.34267,121.43994,"Other",false,false
