"matchId","eventId","divisionId","round","instance","matchnum","scheduled","started","field","scored","name","session","allianceColor","allianceScore","teamName","teamSitting"
56283081,51961,1,2,1,1,"2023-07-17T01:00:00-04:00","2023-07-17T01:06:41-04:00","Field 1",false,"Qualifier #1",,"blue",79,"906K",
56283081,51961,1,2,1,1,"2023-07-17T01:00:00-04:00","2023-07-17T01:06:41-04:00","Field 1",false,"Qualifier #1",,"blue",79,"653X",
56283081,51961,1,2,1,1,"2023-07-17T01:00:00-04:00","2023-07-17T01:06:41-04:00","Field 1",false,"Qualifier #1",,"red",91,"95271A",
56283081,51961,1,2,1,1,"2023-07-17T01:00:00-04:00","2023-07-17T01:06:41-04:00","Field 1",false,"Qualifier #1",,"red",91,"98060E",
56283082,51961,1,2,1,2,"2023-07-17T01:12:30-04:00","2023-07-17T01:21:23-04:00","Field 1",false,"Qualifier #2",,"blue",115,"19320X",
56283082,51961,1,2,1,2,"2023-07-17T01:12:30-04:00","2023-07-17T01:21:23-04:00","Field 1",false,"Qualifier #2",,"blue",115,"98060D",
56283082,51961,1,2,1,2,"2023-07-17T01:12:30-04:00","2023-07-17T01:21:23-04:00","Field 1",false,"Qualifier #2",,"red",79,"93211B",
56283082,51961,1,2,1,2,"2023-07-17T01:12:30-04:00","2023-07-17T01:21:23-04:00","Field 1",false,"Qualifier #2",,"red",79,"98060C",
56283083,51961,1,2,1,3,"2023-07-17T01:25:00-04:00","2023-07-17T01:31:39-04:00","Field 1",false,"Qualifier #3",,"blue",37,"906G",
56283083,51961,1,2,1,3,"2023-07-17T01:25:00-04:00","2023-07-17T01:31:39-04:00","Field 1",false,"Qualifier #3",,"blue",37,"86666X",
56283083,51961,1,2,1,3,"2023-07-17T01:25:00-04:00","2023-07-17T01:31:39-04:00","Field 1",false,"Qualifier #3",,"red",50,"906B",
56283083,51961,1,2,1,3,"2023-07-17T01:25:00-04:00","2023-07-17T01:31:39-04:00","Field 1",false,"Qualifier #3",,"red",50,"906A",
56283084,51961,1,2,1,4,"2023-07-17T01:37:30-04:00","2023-07-17T01:43:41-04:00","Field 1",false,"Qualifier #4",,"blue",35,"906R",
56283084,51961,1,2,1,4,"2023-07-17T01:37:30-04:00","2023-07-17T01:43:41-04:00","Field 1",false,"Qualifier #4",,"blue",35,"906C",
56283084,51961,1,2,1,4,"2023-07-17T01:37:30-04:00","2023-07-17T01:43:41-04:00","Field 1",false,"Qualifier #4",,"red",75,"98060A",
56283084,51961,1,2,1,4,"2023-07-17T01:37:30-04:00","2023-07-17T01:43:41-04:00","Field 1",false,"Qualifier #4",,"red",75,"27512A",
56283085,51961,1,2,1,5,"2023-07-17T01:50:00-04:00","2023-07-17T01:57:38-04:00","Field 1",false,"Qualifier #5",,"blue",79,"98060B",
56283085,51961,1,2,1,5,"2023-07-17T01:50:00-04:00","2023-07-17T01:57:38-04:00","Field 1",false,"Qualifier #5",,"blue",79,"95271A",
56283085,51961,1,2,1,5,"2023-07-17T01:50:00-04:00","2023-07-17T01:57:38-04:00","Field 1",false,"Qualifier #5",,"red",52,"93211A",
56283085,51961,1,2,1,5,"2023-07-17T01:50:00-04:00","2023-07-17T01:57:38-04:00","Field 1",false,"Qualifier #5",,"red",52,"95271B",
56283086,51961,1,2,1,6,"2023-07-17T02:02:30-04:00","2023-07-17T02:07:57-04:00","Field 1",false,"Qualifier #6",,"blue",64,"98060C",
56283086,51961,1,2,1,6,"2023-07-17T02:02:30-04:00","2023-07-17T02:07:57-04:00","Field 1",false,"Qualifier #6",,"blue",64,"27512A",
56283086,51961,1,2,1,6,"2023-07-17T02:02:30-04:00","2023-07-17T02:07:57-04:00","Field 1",false,"Qualifier #6",,"red",32,"906K",
56283086,51961,1,2,1,6,"2023-07-17T02:02:30-04:00","2023-07-17T02:07:57-04:00","Field 1",false,"Qualifier #6",,"red",32,"906B",
56283087,51961,1,2,1,7,"2023-07-17T02:15:00-04:00","2023-07-17T02:17:02-04:00","Field 1",false,"Qualifier #7",,"blue",95,"93211A",
56283087,51961,1,2,1,7,"2023-07-17T02:15:00-04:00","2023-07-17T02:17:02-04:00","Field 1",false,"Qualifier #7",,"blue",95,"98060A",
56283087,51961,1,2,1,7,"2023-07-17T02:15:00-04:00","2023-07-17T02:17:02-04:00","Field 1",false,"Qualifier #7",,"red",48,"19320X",
56283087,51961,1,2,1,7,"2023-07-17T02:15:00-04:00","2023-07-17T02:17:02-04:00","Field 1",false,"Qualifier #7",,"red",48,"906A",
56283088,51961,1,2,1,8,"2023-07-17T02:27:30-04:00","2023-07-17T02:30:09-04:00","Field 1",false,"Qualifier #8",,"blue",65,"93211B",
56283088,51961,1,2,1,8,"2023-07-17T02:27:30-04:00","2023-07-17T02:30:09-04:00","Field 1",false,"Qualifier #8",,"blue",65,"98060E",
56283088,51961,1,2,1,8,"2023-07-17T02:27:30-04:00","2023-07-17T02:30:09-04:00","Field 1",false,"Qualifier #8",,"red",78,"98060B",
56283088,51961,1,2,1,8,"2023-07-17T02:27:30-04:00","2023-07-17T02:30:09-04:00","Field 1",false,"Qualifier #8",,"red",78,"906G",
56283089,51961,1,2,1,9,"2023-07-17T02:40:00-04:00","2023-07-17T02:39:57-04:00","Field 1",false,"Qualifier #9",,"blue",69,"95271B",
56283089,51961,1,2,1,9,"2023-07-17T02:40:00-04:00","2023-07-17T02:39:57-04:00","Field 1",false,"Qualifier #9",,"blue",69,"906C",
56283089,51961,1,2,1,9,"2023-07-17T02:40:00-04:00","2023-07-17T02:39:57-04:00","Field 1",false,"Qualifier #9",,"red",112,"653X",
56283089,51961,1,2,1,9,"2023-07-17T02:40:00-04:00","2023-07-17T02:39:57-04:00","Field 1",false,"Qualifier #9",,"red",112,"906R",
56283090,51961,1,2,1,10,"2023-07-17T02:52:30-04:00","2023-07-17T02:50:04-04:00","Field 1",false,"Qualifier #10",,"blue",76,"93211A",
56283090,51961,1,2,1,10,"2023-07-17T02:52:30-04:00","2023-07-17T02:50:04-04:00","Field 1",false,"Qualifier #10",,"blue",76,"98060A",
56283090,51961,1,2,1,10,"2023-07-17T02:52:30-04:00","2023-07-17T02:50:04-04:00","Field 1",false,"Qualifier #10",,"red",100,"98060D",
56283090,51961,1,2,1,10,"2023-07-17T02:52:30-04:00","2023-07-17T02:50:04-04:00","Field 1",false,"Qualifier #10",,"red",100,"86666X",
56283091,51961,1,2,1,11,"2023-07-17T03:05:00-04:00","2023-07-17T03:09:43-04:00","Field 1",false,"Qualifier #11",,"blue",64,"906K",
56283091,51961,1,2,1,11,"2023-07-17T03:05:00-04:00","2023-07-17T03:09:43-04:00","Field 1",false,"Qualifier #11",,"blue",64,"906A",
56283091,51961,1,2,1,11,"2023-07-17T03:05:00-04:00","2023-07-17T03:09:43-04:00","Field 1",false,"Qualifier #11",,"red",81,"906R",
56283091,51961,1,2,1,11,"2023-07-17T03:05:00-04:00","2023-07-17T03:09:43-04:00","Field 1",false,"Qualifier #11",,"red",81,"98060B",
56283092,51961,1,2,1,12,"2023-07-17T03:17:30-04:00","2023-07-17T03:25:05-04:00","Field 1",false,"Qualifier #12",,"blue",57,"906G",
56283092,51961,1,2,1,12,"2023-07-17T03:17:30-04:00","2023-07-17T03:25:05-04:00","Field 1",false,"Qualifier #12",,"blue",57,"98060C",
56283092,51961,1,2,1,12,"2023-07-17T03:17:30-04:00","2023-07-17T03:25:05-04:00","Field 1",false,"Qualifier #12",,"red",137,"906C",
56283092,51961,1,2,1,12,"2023-07-17T03:17:30-04:00","2023-07-17T03:25:05-04:00","Field 1",false,"Qualifier #12",,"red",137,"98060D",
56283093,51961,1,2,1,13,"2023-07-17T03:30:00-04:00","2023-07-17T03:34:43-04:00","Field 1",false,"Qualifier #13",,"blue",76,"86666X",
56283093,51961,1,2,1,13,"2023-07-17T03:30:00-04:00","2023-07-17T03:34:43-04:00","Field 1",false,"Qualifier #13",,"blue",76,"27512A",
56283093,51961,1,2,1,13,"2023-07-17T03:30:00-04:00","2023-07-17T03:34:43-04:00","Field 1",false,"Qualifier #13",,"red",98,"98060E",
56283093,51961,1,2,1,13,"2023-07-17T03:30:00-04:00","2023-07-17T03:34:43-04:00","Field 1",false,"Qualifier #13",,"red",98,"95271A",
56283094,51961,1,2,1,14,"2023-07-17T03:42:30-04:00","2023-07-17T03:45:20-04:00","Field 1",false,"Qualifier #14",,"blue",71,"906B",
56283094,51961,1,2,1,14,"2023-07-17T03:42:30-04:00","2023-07-17T03:45:20-04:00","Field 1",false,"Qualifier #14",,"blue",71,"19320X",
56283094,51961,1,2,1,14,"2023-07-17T03:42:30-04:00","2023-07-17T03:45:20-04:00","Field 1",false,"Qualifier #14",,"red",26,"93211B",
56283094,51961,1,2,1,14,"2023-07-17T03:42:30-04:00","2023-07-17T03:45:20-04:00","Field 1",false,"Qualifier #14",,"red",26,"95271B",
56283095,51961,1,2,1,15,"2023-07-17T03:55:00-04:00","2023-07-17T03:54:59-04:00","Field 1",false,"Qualifier #15",,"blue",71,"98060B",
56283095,51961,1,2,1,15,"2023-07-17T03:55:00-04:00","2023-07-17T03:54:59-04:00","Field 1",false,"Qualifier #15",,"blue",71,"86666X",
56283095,51961,1,2,1,15,"2023-07-17T03:55:00-04:00","2023-07-17T03:54:59-04:00","Field 1",false,"Qualifier #15",,"red",144,"653X",
56283095,51961,1,2,1,15,"2023-07-17T03:55:00-04:00","2023-07-17T03:54:59-04:00","Field 1",false,"Qualifier #15",,"red",144,"98060C",
56283096,51961,1,2,1,16,"2023-07-17T04:07:30-04:00","2023-07-17T04:06:28-04:00","Field 1",false,"Qualifier #16",,"blue",81,"95271B",
56283096,51961,1,2,1,16,"2023-07-17T04:07:30-04:00","2023-07-17T04:06:28-04:00","Field 1",false,"Qualifier #16",,"blue",81,"98060A",
