"eventId","divisionId","teamName","id","rank","wins","losses","ties","wp","ap","sp","high_score","average_points","total_points"
51961,1,"906K",16861489,19,1,5,0,2,20,354,79,59,354
51961,1,"906C",16861488,18,1,5,0,2,25,331,137,68.5,411
51961,1,"906A",16861487,17,2,4,0,4,0,397,107,68.33,410
51961,1,"93211A",16861486,16,2,4,0,4,15,245,95,48.67,292
51961,1,"93211B",16861485,15,2,4,0,4,20,310,103,59.5,357
51961,1,"19320X",16861484,14,2,4,0,4,30,312,115,65.5,393
51961,1,"98060C",16861483,13,2,4,0,5,20,415,144,86.67,520
51961,1,"95271B",16861482,12,2,4,0,5,25,319,110,56.33,338
51961,1,"86666X",16861481,11,2,4,0,5,40,339,110,61.67,370
51961,1,"95271A",16861480,10,3,3,0,6,5,522,127,97.17,583
51961,1,"906G",16861479,9,3,3,0,7,40,369,102,68.5,411
51961,1,"27512A",16861478,8,4,2,0,8,35,391,111,80.33,482
51961,1,"98060B",16861477,7,4,2,0,9,25,471,127,91.17,547
51961,1,"653X",16861476,6,4,2,0,9,50,441,144,102.33,614
51961,1,"906R",16861475,5,4,2,0,10,40,343,122,79.33,476
51961,1,"906B",16861474,4,5,1,0,12,30,286,142,71.33,428
51961,1,"98060E",16861473,3,5,1,0,12,30,376,121,97.17,583
51961,1,"98060A",16861472,2,6,0,0,15,45,424,142,95.17,571
51961,1,"98060D",16861471,1,6,0,0,16,50,450,137,109.5,657
52045,1,"10299A",16872480,73,0,6,0,0,0,322,95,53.67,322
52045,1,"19896N",16872479,72,1,5,0,2,10,433,98,74,444
52045,1,"95619B",16872478,71,1,5,0,2,10,474,145,80.17,481
52045,1,"21028A",16872477,70,1,5,0,2,15,340,138,72.17,433
52045,1,"7937A",16872476,69,1,5,0,2,15,394,82,67.17,403
52045,1,"19896B",16872475,68,1,5,0,2,20,376,102,68.5,411
52045,1,"95619D",16872474,67,1,5,0,2,40,406,118,70.33,422
52045,1,"12466A",16872473,66,1,5,0,3,15,487,120,83,498
52045,1,"46665B",16872472,65,1,5,0,3,20,350,95,61.17,367
52045,1,"92999B",16872471,64,1,5,0,3,20,471,115,79,474
52045,1,"88887A",16872470,63,2,4,0,4,5,328,107,64.83,389
52045,1,"19896C",16872469,62,2,4,0,4,10,428,116,76,456
52045,1,"10299B",16872468,61,2,4,0,4,15,377,88,68,408
52045,1,"12366B",16872467,60,2,4,0,4,20,443,145,88.33,530
52045,1,"58189A",16872466,59,2,4,0,4,25,472,105,89.5,537
52045,1,"17996M",16872465,58,2,4,0,4,40,443,107,76.33,458
52045,1,"95619A",16872464,57,2,4,0,5,5,495,126,91.33,548
52045,1,"19896A",16872463,56,2,4,0,5,10,331,154,76.33,458
52045,1,"58999A",16872462,55,2,4,0,5,30,547,131,97,582
52045,1,"57000Z",16872461,54,2,4,0,5,30,585,163,116,696
52045,1,"19896D",16872460,53,2,4,0,5,35,468,107,89,534
52045,1,"17996Y",16872459,52,2,4,0,5,40,392,125,89.33,536
52045,1,"92999A",16872458,51,3,3,0,6,20,444,131,95.83,575
52045,1,"95999A",16872457,50,3,3,0,6,20,470,115,85.17,511
52045,1,"12366E",16872456,49,3,3,0,6,20,472,120,89.33,536
52045,1,"58999C",16872455,48,3,3,0,6,35,576,138,103.33,620
52045,1,"57000G",16872454,47,2,4,0,6,40,408,122,85.5,513
52045,1,"50113B",16872453,46,3,3,0,6,40,521,122,96.17,577
52045,1,"95619C",16872452,45,3,3,0,6,40,591,176,112.17,673
52045,1,"55777A",16872451,44,3,3,0,6,45,489,136,91,546
52045,1,"86666X",16872450,43,3,3,0,6,50,509,126,110,660
52045,1,"18588A",16872449,42,3,3,0,7,20,380,149,89.17,535
52045,1,"71666B",16872448,41,3,3,0,7,25,376,132,93.17,559
52045,1,"17996Z",16872447,40,3,3,0,7,25,446,153,87,522
52045,1,"12366A",16872446,39,3,3,0,7,30,444,109,77,462
52045,1,"86666R",16872445,38,3,3,0,7,30,536,140,109.17,655
52045,1,"50113A",16872444,37,3,3,0,7,30,538,145,103.83,623
52045,1,"653X",16872443,36,3,3,0,7,35,366,147,94.83,569
52045,1,"12366G",16872442,35,3,3,0,7,40,406,164,94.33,566
52045,1,"11311X",16872441,34,3,3,0,7,45,447,132,83.67,502
52045,1,"18501A",16872440,33,4,2,0,8,0,714,175,153.67,922
52045,1,"95999B",16872439,32,4,2,0,8,15,514,167,118.17,709
52045,1,"12366D",16872438,31,3,3,0,8,20,428,102,78,468
52045,1,"18522E",16872437,30,3,3,0,8,30,411,141,112.83,677
52045,1,"12366C",16872436,29,3,3,0,8,30,441,144,98.5,591
52045,1,"18522X",16872435,28,3,3,0,8,30,451,144,111,666
52045,1,"7937C",16872434,27,3,3,0,8,35,364,105,71,426
52045,1,"7139H",16872433,26,4,2,0,8,35,466,133,101,606
