"id","type","division","rank","score","attempts","eventId","teamName","seasonId"
36959406,"driver",,1,188,2,51961,"98060C",181
36959407,"programming",,1,15,1,51961,"98060C",181
36959408,"driver",,2,175,3,51961,"906K",181
36959409,"programming",,2,0,0,51961,"906K",181
36959410,"driver",,3,160,2,51961,"98060A",181
36959411,"programming",,3,0,0,51961,"98060A",181
36959412,"driver",,4,155,3,51961,"98060B",181
36959413,"programming",,4,0,0,51961,"98060B",181
36959414,"driver",,5,139,2,51961,"86666X",181
36959415,"programming",,5,0,0,51961,"86666X",181
36959416,"driver",,6,135,2,51961,"906G",181
36959417,"programming",,6,0,0,51961,"906G",181
36959418,"driver",,7,103,3,51961,"27512A",181
36959419,"programming",,7,0,0,51961,"27512A",181
36959420,"driver",,8,91,3,51961,"95271A",181
36959421,"programming",,8,0,0,51961,"95271A",181
36959422,"driver",,9,77,3,51961,"19320X",181
36959423,"programming",,9,0,2,51961,"19320X",181
36959424,"driver",,10,65,1,51961,"95271B",181
36959425,"programming",,10,0,0,51961,"95271B",181
36959426,"driver",,11,16,3,51961,"906R",181
36959427,"programming",,11,4,1,51961,"906R",181
36959428,"driver",,12,20,2,51961,"906C",181
36959429,"programming",,12,0,0,51961,"906C",181
36959430,"driver",,13,0,1,51961,"93211B",181
36959431,"programming",,13,0,0,51961,"93211B",181
36965482,"driver",,1,128,1,52045,"18501A",181
36965483,"programming",,1,86,1,52045,"18501A",181
36965484,"driver",,2,104,1,52045,"18555B",181
36965485,"programming",,2,107,1,52045,"18555B",181
36965486,"driver",,3,95,1,52045,"11311X",181
36965487,"programming",,3,89,1,52045,"11311X",181
36965488,"driver",,4,99,1,52045,"13800C",181
36965489,"programming",,4,85,1,52045,"13800C",181
36965490,"driver",,5,91,2,52045,"11311Y",181
36965491,"programming",,5,79,2,52045,"11311Y",181
36965492,"driver",,6,122,1,52045,"86666R",181
36965493,"programming",,6,40,1,52045,"86666R",181
36965494,"driver",,7,82,1,52045,"18522S",181
36965495,"programming",,7,78,1,52045,"18522S",181
36965496,"driver",,8,97,1,52045,"13800V",181
36965497,"programming",,8,53,1,52045,"13800V",181
36965498,"driver",,9,60,1,52045,"11311Z",181
36965499,"programming",,9,88,1,52045,"11311Z",181
36965500,"driver",,10,61,1,52045,"57000X",181
36965501,"programming",,10,48,1,52045,"57000X",181
36965502,"driver",,11,43,1,52045,"665Z",181
36965503,"programming",,11,63,1,52045,"665Z",181
36965504,"driver",,12,101,1,52045,"18522E",181
36965505,"programming",,12,0,1,52045,"18522E",181
36965506,"driver",,13,58,2,52045,"7756A",181
36965507,"programming",,13,41,2,52045,"7756A",181
36965508,"driver",,14,86,1,52045,"7139C",181
36965509,"programming",,14,2,1,52045,"7139C",181
36965510,"driver",,15,42,1,52045,"653R",181
36965511,"programming",,15,42,1,52045,"653R",181
36965512,"driver",,16,72,1,52045,"7139H",181
36965513,"programming",,16,5,1,52045,"7139H",181
36965514,"driver",,17,0,0,52045,"665A",181
36965515,"programming",,17,75,1,52045,"665A",181
36965516,"driver",,18,61,1,52045,"86666X",181
36965517,"programming",,18,4,1,52045,"86666X",181
36965518,"driver",,19,27,1,52045,"18522X",181
36965519,"programming",,19,36,1,52045,"18522X",181
36965520,"driver",,20,60,1,52045,"21028A",181
36965521,"programming",,20,0,1,52045,"21028A",181
36965522,"driver",,21,44,1,52045,"97758A",181
36965523,"programming",,21,2,1,52045,"97758A",181
36965524,"driver",,22,41,1,52045,"50113B",181
36965525,"programming",,22,0,0,52045,"50113B",181
36965526,"driver",,23,8,1,52045,"50113A",181
36965527,"programming",,23,9,1,52045,"50113A",181
36965528,"driver",,1,120,1,52046,"88X",181
36965529,"programming",,1,72,1,52046,"88X",181
36965530,"driver",,2,87,1,52046,"8331A",181
36965531,"programming",,2,91,1,52046,"8331A",181
36965532,"driver",,3,92,1,52046,"88Z",181
36965533,"programming",,3,75,1,52046,"88Z",181
36965534,"driver",,4,108,1,52046,"18522C",181
36965535,"programming",,4,58,1,52046,"18522C",181
36965536,"driver",,5,127,2,52046,"84125A",181
36965537,"programming",,5,39,2,52046,"84125A",181
36965538,"driver",,6,97,1,52046,"11611C",181
36965539,"programming",,6,54,1,52046,"11611C",181
36965540,"driver",,7,65,2,52046,"8331B",181
36965541,"programming",,7,84,2,52046,"8331B",181
36965542,"driver",,8,80,1,52046,"70700A",181
36965543,"programming",,8,64,1,52046,"70700A",181
36965544,"driver",,9,126,1,52046,"18522Y",181
