"eventId","id","number","team_name","robot_name","organization","location.venue","location.address_1","location.address_2","location.city","location.region","location.postcode","location.country","location.coordinates.lat","location.coordinates.lon","registered","program.id","program.name","program.code","grade"
"51961",153007,"653X","Mars_Style Team 653X",,"Beijing Mars_Style Robotics",,"",,"Beijing","Beijing","101318","China",40.1,116.5,true,1,"VEX Robotics Competition","VRC","Middle School"
"51961",106994,"906A","HIC robot","广州海客机器人","HIC robot",,"",,"Guangzhou","Guangdong","nil","China",23.1,113.3,true,1,"VEX Robotics Competition","VRC","Middle School"
"51961",107754,"906B","HIC robot","海客智能机器人竞赛中心","HIC robot",,"",,"Guangzhou","Guangdong","nil","China",23.1,113.3,true,1,"VEX Robotics Competition","VRC","Middle School"
"51961",108879,"906C","海客智能机器人竞赛中心","海客机器人","HIC robot（体育西校区）",,"",,"Guangzhou","Guangdong","510091","China",23.1,113.3,true,1,"VEX Robotics Competition","VRC","Middle School"
"51961",108895,"906G","HIC robot","海客智能机器人","HIC robot",,"",,"Guangzhou","Guangdong","510620","China",23.1,113.3,true,1,"VEX Robotics Competition","VRC","Middle School"
"51961",129298,"906K","HIC robot（体育西校区）","","HIC robot（体育西校区）",,"",,"Guangzhou","Guangdong","nil","China",23.1,113.3,true,1,"VEX Robotics Competition","VRC","Middle School"
"51961",138347,"906R","海客智能机器人竞赛中心","HIC","HIC robot（兴盛路校区）",,"",,"Guangzhou","Guangdong","nil","China",23.1,113.3,true,1,"VEX Robotics Competition","VRC","High School"
"51961",154339,"19320X","SellyMish水母中学X队","","ShiMen Middle School",,"",,"Foshan","Guangdong","528000","China",23,113.1,true,1,"VEX Robotics Competition","VRC","High School"
"51961",154846,"27512A","HUSKY",,"GUANGZHOU GAON TECHNOLOGY DEVELOPMENT LIMITED COMPANY",,"",,"Guangzhou","Guangdong","nill","China",23.2,113.6,true,1,"VEX Robotics Competition","VRC","Middle School"
"51961",153003,"86666X","Mars_Style Team 86666X",,"Beijing Mars_Style Robotics",,"",,"Beijing","Beijing","101318","China",40.1,116.5,true,1,"VEX Robotics Competition","VRC","Middle School"
"51961",154416,"93211A","SDXT01",,"sidunxuetang",,"",,"Foshan","Guangdong","528200","China",23,113.1,true,1,"VEX Robotics Competition","VRC","Middle School"
"51961",154417,"93211B","SDXT01",,"sidunxuetang",,"",,"Foshan","Guangdong","528200","China",23,113.1,true,1,"VEX Robotics Competition","VRC","Middle School"
"51961",123263,"95271A","Foshan Big Brothers","","Ai Tech Robotics",,"",,"Foshan","Guangdong","528000","China",23,113.1,true,1,"VEX Robotics Competition","VRC","High School"
"51961",123265,"95271B","Haike Stormtroopers","","Ai Tech Robotics",,"",,"Foshan","Guangdong","528000","China",23,113.1,true,1,"VEX Robotics Competition","VRC","Middle School"
"51961",71370,"98060A","Jing’an-1静安区少年宫","","Shanghai Jing’an Children’s Palace",,"",,"Shanghai","Shanghai","nil","China",31.3,121.5,true,1,"VEX Robotics Competition","VRC","Middle School"
"51961",71513,"98060B","Jing’an-2静安区少年宫","","Shanghai Jing’an Children’s Palace",,"",,"Shanghai","Shanghai","nil","China",31.3,121.5,true,1,"VEX Robotics Competition","VRC","Middle School"
"51961",71517,"98060C","Jing’an-5静安区少年宫","","Shanghai Jing'an District Children's Palace",,"",,"Shanghai","Shanghai","nil","China",31.3,121.5,true,1,"VEX Robotics Competition","VRC","High School"
"51961",91119,"98060D","Jing'an-3静安少年宫","","Shanghai Jing’an Children’s Palace",,"",,"Shanghai","Shanghai","nil","China",31.3,121.5,true,1,"VEX Robotics Competition","VRC","Middle School"
"51961",91120,"98060E","Jing’an-4静安区少年宫","","Shanghai Jing’an Children’s Palace",,"",,"Shanghai","Shanghai","nil","China",31.3,121.5,true,1,"VEX Robotics Competition","VRC","Middle School"
"52045",154392,"653R","Mars_Style Team 653R",,"Beijing Mars_Style Robotics",,"",,"Beijing","Beijing","101318","China",40.1,116.5,true,1,"VEX Robotics Competition","VRC","Middle School"
